IATA,ID,CITY_NAME,STATE_NAME,label,region
AFW,10194,"Dallas/Fort Worth, TX",Texas,"AFW - Dallas/Fort Worth, TX",Southwest
AZO,10469,"Kalamazoo, MI",Michigan,"AZO - Kalamazoo, MI",Midwest
BTL,10778,"Battle Creek, MI",Michigan,"BTL - Battle Creek, MI",Midwest
BWG,10819,"Bowling Green, KY",Kentucky,"BWG - Bowling Green, KY",Midwest
CAE,10868,"Columbia, SC",South Carolina,"CAE - Columbia, SC",Southeast
CLE,11042,"Cleveland, OH",Ohio,"CLE - Cleveland, OH",Midwest
CMH,11066,"Columbus, OH",Ohio,"CMH - Columbus, OH",Midwest
CRW,11146,"Charleston/Dunbar, WV",West Virginia,"CRW - Charleston/Dunbar, WV",Northeast
DAY,11267,"Dayton, OH",Ohio,"DAY - Dayton, OH",Midwest
FNT,11721,"Flint, MI",Michigan,"FNT - Flint, MI",Midwest
GRR,11986,"Grand Rapids, MI",Michigan,"GRR - Grand Rapids, MI",Midwest
GSO,11995,"Greensboro/High Point, NC",North Carolina,"GSO - Greensboro/High Point, NC",Southeast
HLM,12155,"Holland, MI",Michigan,"HLM - Holland, MI",Midwest
IAG,12265,"Niagara Falls, NY",New York,"IAG - Niagara Falls, NY",Northeast
IND,12339,"Indianapolis, IN",Indiana,"IND - Indianapolis, IN",Midwest
JZT,12598,"Arlington, TX",Texas,"JZT - Arlington, TX",Southwest
LCK,12917,"Columbus, OH",Ohio,"LCK - Columbus, OH",Midwest
LEX,12945,"Lexington, KY",Kentucky,"LEX - Lexington, KY",Midwest
LIT,12992,"Little Rock, AR",Arkansas,"LIT - Little Rock, AR",Southeast
MBS,13184,"Saginaw/Bay City/Midland, MI",Michigan,"MBS - Saginaw/Bay City/Midland, MI",Midwest
PHF,14098,"Newport News/Williamsburg, VA",Virginia,"PHF - Newport News/Williamsburg, VA",Northeast
SUS,15043,"St. Louis, MO",Missouri,"SUS - St. Louis, MO",Midwest
TDF,15163,"Roxboro, NC",North Carolina,"TDF - Roxboro, NC",Southeast
TXK,15401,"Texarkana, AR",Arkansas,"TXK - Texarkana, AR",Southeast
UIN,15454,"Quincy, IL",Illinois,"UIN - Quincy, IL",Midwest
YIP,16091,"Detroit, MI",Michigan,"YIP - Detroit, MI",Midwest
HNL,12173,"Honolulu, HI",Hawaii,"HNL - Honolulu, HI",Pacific
ITO,12402,"Hilo, HI",Hawaii,"ITO - Hilo, HI",Pacific
KOA,12758,"Kona, HI",Hawaii,"KOA - Kona, HI",Pacific
LIH,12982,"Lihue, HI",Hawaii,"LIH - Lihue, HI",Pacific
OGG,13830,"Kahului, HI",Hawaii,"OGG - Kahului, HI",Pacific
ADW,10172,"Camp Springs, MD",Maryland,"ADW - Camp Springs, MD",Northeast
AZA,10466,"Phoenix, AZ",Arizona,"AZA - Phoenix, AZ",Southwest
BED,10540,"Bedford, MA",Massachusetts,"BED - Bedford, MA",Northeast
BKL,10647,"Cleveland, OH",Ohio,"BKL - Cleveland, OH",Midwest
BWI,10821,"Baltimore, MD",Maryland,"BWI - Baltimore, MD",Northeast
CKB,11027,"Clarksburg/Fairmont, WV",West Virginia,"CKB - Clarksburg/Fairmont, WV",Northeast
CLL,11049,"College Station/Bryan, TX",Texas,"CLL - College Station/Bryan, TX",Southwest
CPS,11123,"St. Louis, MO",Missouri,"CPS - St. Louis, MO",Midwest
DAL,11259,"Dallas, TX",Texas,"DAL - Dallas, TX",Southwest
DSM,11423,"Des Moines, IA",Iowa,"DSM - Des Moines, IA",Midwest
FNL,11719,"Fort Collins/Loveland, CO",Colorado,"FNL - Fort Collins/Loveland, CO",Southwest
FOE,11726,"Topeka, KS",Kansas,"FOE - Topeka, KS",Southwest
FRG,11764,"East Farmingdale, NY",New York,"FRG - East Farmingdale, NY",Northeast
FSD,11775,"Sioux Falls, SD",South Dakota,"FSD - Sioux Falls, SD",Midwest
GEG,11884,"Spokane, WA",Washington,"GEG - Spokane, WA",Northwest
HPN,12197,"White Plains, NY",New York,"HPN - White Plains, NY",Northeast
